x,y,z,roll,pitch,yaw,reachable,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.1,0.0,0.14,0.0,1.5708,0.0,1,-0.34486635692320655,-1.8183633888623487,1.2081235761118263,-2.531292699049985,1.2177084373570204,-3.14154662512844
0.1,0.0,0.18,0.0,0.0,0.0,1,-0.346231192516155,-0.6158819022556355,-0.9326740472526157,-1.568805954685105,1.2244537096308603,1.5935746562188136
0.1,0.0,0.18,0.0,0.7854,0.0,1,2.0369099506096777,2.4403437559654817,-1.1880720633155792,-1.2587034789283507,-0.4602840100149244,-0.7825168558468857
0.1,0.0,0.18,0.0,1.5708,0.0,1,2.0378042799850316,1.4705393802807285,-0.8956752108265726,2.566731353012702,-2.682795719841072,-3.14159
0.1,0.05,0.02,0.0,0.0,0.0,1,2.214602397632685,1.3365028314789202,1.569858935047528,0.22496892212605454,-2.49781725017895,1.576952385829997
0.1,0.05,0.02,0.0,0.7854,0.0,1,-0.007472153354030314,-1.372717172881778,-1.8376181484010454,0.48096061001707696,1.556293572944391,2.7683891614167355
0.1,0.05,0.02,0.0,1.5708,0.0,1,2.2187629995827325,1.3453562877736098,1.5479496012189666,0.2482713256618541,-2.501836689584658,3.14158885193237
0.1,0.05,0.06,0.0,0.0,0.0,1,2.21447122264388,0.9892244784248516,1.751193338664608,0.39091825573232253,-2.4979503174768043,1.576946173000766
0.1,0.05,0.06,0.0,0.7854,0.0,1,-0.007476996698118119,-0.9806190942746563,-2.0576402958804834,0.30892868924680933,1.5562982663071592,2.768434485481056
0.1,0.05,0.06,0.0,1.5708,0.0,1,-0.007532415491503851,-1.0000086060712499,-1.7314307060593108,-0.41019856665504645,1.5550519127491573,3.14159
0.1,0.05,0.1,0.0,0.0,0.0,1,2.2145334098503753,0.672145479405601,1.7807219206973084,0.678472624900316,-2.49789854979001,1.576940455857978
0.1,0.05,0.1,0.0,0.7854,0.0,1,2.217449414724207,0.6775622117496092,1.772395583950836,0.6844374028951103,-2.5007917818918113,2.3605225392666505
0.1,0.05,0.1,0.0,1.5708,0.0,1,-0.007403525232839434,-0.6850472663557918,-1.763840533625646,-0.6927118329132044,1.5551068944696183,3.14159
0.1,0.05,0.14,0.0,0.0,0.0,1,2.214476945776833,0.43491931076065593,1.6577134981803157,1.0387002724471461,-2.4979446337237046,1.57695103325997
0.1,0.05,0.14,0.0,0.7854,0.0,1,2.21729429211693,0.44113976617061784,1.6502643967221904,1.0429501381885067,-2.500915514975498,2.3605353606486594
0.1,0.05,0.14,0.0,1.5708,0.0,1,2.218585860575447,0.44914749723150843,1.6432119659314488,1.0492333715622493,-2.502003117797879,-3.14159
0.1,0.05,0.18,0.0,0.0,0.0,1,2.2144320238534365,0.31843733703829646,1.383777497285744,1.4291325177953944,-2.497989356579535,1.5769278620633838
0.1,0.05,0.18,0.0,0.7854,0.0,1,-0.007473551003743047,-0.07863866127783747,-1.7460565646858386,-0.9042507787262546,1.55630252023261,2.768822719099341
0.1,0.05,0.18,0.0,1.5708,0.0,1,-0.007440929142426689,-0.3322955623603706,-1.3716155070943428,-1.43768437408905,1.5551669690747278,3.14159
0.1,0.1,0.02,0.0,0.0,0.0,1,2.506042493690243,1.3136679936058346,1.7644090564342478,0.0496902359060393,-2.206399254064798,1.58192879481315
0.1,0.1,0.02,0.0,0.7854,0.0,1,2.5085144808877344,1.3159597109330068,1.7538719200800725,0.06204096704033524,-2.209710204852255,2.364017662238547
0.1,0.1,0.02,0.0,1.5708,0.0,1,2.509501740471663,1.3208133430975768,1.7407019464859228,0.08008467365827647,-2.211103052272053,3.14159
0.1,0.1,0.06,0.0,0.0,0.0,1,2.5061631128494084,0.9384177477631294,1.952022685678495,0.23732716040591703,-2.2062620713589323,1.5819234997283627
0.1,0.1,0.06,0.0,0.7854,0.0,1,2.50855924817345,0.9422115660352873,1.9419932916467284,0.24765580581927724,-2.209643903457524,2.3640264878816573
0.1,0.1,0.06,0.0,1.5708,0.0,1,2.509419432292424,0.948681533577151,1.9305436494679749,0.2623620344250416,-2.211180559691242,3.14159
0.1,0.1,0.1,0.0,0.0,0.0,1,2.506047763459546,0.5768331404833773,1.9841974539257579,0.5667375180046493,-2.2063941943378724,1.5819202177890723
0.1,0.1,0.1,0.0,0.7854,0.0,1,2.508445327497684,0.5828661264377742,1.9748080465181859,0.5741862354611207,-2.209774604675829,2.3640241606461188
0.1,0.1,0.1,0.0,1.5708,0.0,1,2.509432874277745,0.5916673234274111,1.9644952607153117,0.5854248539782311,-2.2111671259354195,3.14159
0.1,0.1,0.14,0.0,0.0,0.0,1,0.3967478528678977,-0.32278281259938435,-1.8259124402252107,-1.0141493402825232,1.9676172310105862,1.551194910120118
0.1,0.1,0.14,0.0,0.7854,0.0,1,0.3951876008945656,-0.3244559781811643,-1.8257995313816282,-1.0066418743644823,1.9602166954095435,2.342053730160756
0.1,0.1,0.14,0.0,1.5708,0.0,1,2.5094332455899235,0.31973096186872785,1.8382410679652759,0.9836154022786001,-2.211166754330099,-3.14158601782025
0.1,0.1,0.18,0.0,0.0,0.0,1,0.3967475353459967,-0.18956432578951832,-1.5504439471638685,-1.4228338008510666,1.9676153461955805,1.5511976915507653
0.1,0.1,0.18,0.0,0.7854,0.0,1,2.5098860375226884,0.17722572707729933,1.567278202024212,1.3873353356337366,-2.208291262743021,2.3640455521598285
0.1,0.1,0.18,0.0,1.5708,0.0,1,0.39352459072217266,-0.1864587930323689,-1.5609498652543141,-1.3941985393935297,1.956129009234809,3.1415801626562008
0.12,-0.1,0.02,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.1,0.02,0.0,0.7854,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.1,0.02,0.0,1.5708,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.1,0.06,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-0.1,0.06,0.0,0.7854,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
